epoch,accuracy,loss
0,0.47916666,2.2419465283552804
1,0.4125,1.2081957012414932
2,0.68333334,0.7323517439266046
3,0.78125,0.5501021208862463
4,0.42083332,1.2407150951524575
5,0.6354167,0.8321797028183937
6,0.76875,0.6173820284505686
7,0.82708335,0.48408439196646214
8,0.87291664,0.4109893683344126
9,0.86041665,0.43938975346585113
10,0.9,0.3108974803859989
11,0.8520833,0.46512806105117005
12,0.84583336,0.4334618095308542
13,0.91041666,0.32751180852452916
14,0.8854167,0.40054989606142044
15,0.91041666,0.35490918656190235
16,0.93125,0.26404050551354885
17,0.93333334,0.26816886678958934
18,0.9,0.3194379108026624
19,0.84166664,0.4568080920726061
20,0.9375,0.25863693468272686
21,0.91875,0.3074051681905985
22,0.94375,0.24686126876622438
23,0.8833333,0.39567547633002204
24,0.93125,0.2627591669249038
25,0.93125,0.29528986973067123
26,0.92291665,0.3208317632476489
27,0.91875,0.3067374928699185
28,0.95,0.2588779305418332
29,0.94375,0.27616331648702425
30,0.9458333,0.2640532135652999
31,0.95625,0.21617802628315985
32,0.92291665,0.3564255285697679
33,0.94375,0.2911375695839524
34,0.95625,0.2319106583793958
35,0.95625,0.19356481179905435
36,0.95416665,0.22108972320954004
37,0.95,0.2142273417363564
38,0.95625,0.2302444848852853
39,0.93125,0.4090451415007313
40,0.93541664,0.31498548046996194
41,0.82708335,0.6563945251206557
42,0.94166666,0.23885403806343675
43,0.95,0.2400898584164679
44,0.9479167,0.23313253823046884
45,0.93958336,0.3039052907067041
46,0.9625,0.19487054948695004
47,0.96666664,0.20280970865860581
48,0.96875,0.18488157416383424
49,0.95208335,0.21687275318739316
