epoch,accuracy,loss,val_accuracy,val_loss
0,0.475,2.772513374686241,0.5249999761581421,0.6772571802139282
1,0.534375,0.8168610408902168,0.4749999940395355,0.7649754285812378
2,0.80625,0.45726966857910156,0.574999988079071,1.0320130586624146
3,0.8875,0.31571556348353624,0.574999988079071,1.498012900352478
4,0.915625,0.2728348325472325,0.4375,1.4153029918670654
5,0.90625,0.24143505981191993,0.4000000059604645,1.6782643795013428
6,0.93125,0.2011768463999033,0.48750001192092896,0.8849176168441772
7,0.928125,0.1917884584981948,0.32499998807907104,3.1463382244110107
8,0.953125,0.14088493899907917,0.48750001192092896,2.1376729011535645
9,0.96875,0.1331018913188018,0.48750001192092896,3.040727376937866
10,0.965625,0.11394190916325897,0.5625,1.7619413137435913
11,0.978125,0.08258847682736814,0.5874999761581421,2.674264907836914
12,0.95625,0.14185224985703826,0.574999988079071,1.7746868133544922
13,0.978125,0.08539618607028387,0.44999998807907104,3.767737627029419
14,0.975,0.09356574871344492,0.4749999940395355,3.3591644763946533
15,0.990625,0.02620896698499564,0.5625,3.1772782802581787
16,0.984375,0.12655885342974216,0.5375000238418579,2.7656683921813965
17,0.978125,0.1114519975380972,0.44999998807907104,2.977139711380005
18,0.965625,0.09709115920122713,0.6000000238418579,2.5926451683044434
19,0.98125,0.08674255092046224,0.4375,3.1396732330322266
20,0.9875,0.09485229244455695,0.48750001192092896,2.7565596103668213
21,0.99375,0.02485975608578883,0.512499988079071,2.9736149311065674
22,0.99375,0.08667822706047446,0.38749998807907104,2.967061758041382
23,0.978125,0.14323706179857254,0.48750001192092896,2.7808849811553955
24,0.946875,0.1649834177806042,0.4375,2.2352309226989746
25,0.978125,0.10145821678452194,0.4375,2.2725472450256348
26,0.978125,0.08478227508021519,0.550000011920929,3.4535088539123535
27,0.96875,0.11680230457568541,0.4124999940395355,2.746558427810669
28,0.978125,0.12660817085998133,0.5375000238418579,1.2830183506011963
29,0.9875,0.05451464929501526,0.4625000059604645,3.6804299354553223
30,0.990625,0.061289595207199454,0.512499988079071,3.2507827281951904
31,1.0,0.010123781197762582,0.3499999940395355,4.535164833068848
32,0.990625,0.05468222341733053,0.48750001192092896,3.253927230834961
33,0.98125,0.08207987263449468,0.5874999761581421,3.327347993850708
34,0.990625,0.06078794115455821,0.4375,3.213068723678589
35,0.990625,0.07007603696547449,0.42500001192092896,2.305123805999756
36,0.990625,0.06536049918213394,0.5375000238418579,2.5059306621551514
37,0.978125,0.15301311935763806,0.5375000238418579,2.156637668609619
38,0.9875,0.07347657647915184,0.6000000238418579,2.5503451824188232
39,0.98125,0.07924726884812117,0.574999988079071,2.722954034805298
40,0.990625,0.037051819905173033,0.625,3.1652626991271973
41,0.984375,0.10957496135961264,0.4749999940395355,2.55157732963562
42,0.98125,0.10422789270523936,0.3375000059604645,2.499751567840576
43,0.99375,0.038079954916611314,0.5,2.8625597953796387
44,0.990625,0.061515545967267826,0.574999988079071,1.656943917274475
45,0.990625,0.06152401183499023,0.5249999761581421,1.5019712448120117
46,0.99375,0.05653746266034432,0.4749999940395355,1.6727755069732666
47,0.990625,0.05334531262633391,0.4749999940395355,2.9192683696746826
48,0.99375,0.042672841576859355,0.5375000238418579,2.7022416591644287
49,0.99375,0.029258997856231872,0.5375000238418579,2.8350722789764404
