Epochs,Accuracy
0,0.174460145
1,0.308280429
2,0.275126857
3,0.296402485
4,0.3217512
5,0.376021116
6,0.440280338
7,0.414840603
8,0.49837304
9,0.505722802
10,0.538284752
11,0.560538831
12,0.560743623
13,0.570732928
14,0.602794275
15,0.626072314
16,0.688283614
17,0.644799417
18,0.629440007
19,0.664960066
20,0.666006781
21,0.662912144
22,0.697863335
23,0.676291897
24,0.712358068
25,0.663936105
26,0.700957972
27,0.73861697
28,0.727649214
29,0.715953307
30,0.724304276
31,0.744146358
32,0.739936742
33,0.770610053
34,0.763419574
35,0.779962227
36,0.777504722
37,0.781623319
38,0.783580222
39,0.787175461
40,0.795958769
41,0.796459372
42,0.769586092
43,0.794707261
44,0.797528842
45,0.798643821
46,0.801306119
47,0.806198375
48,0.805128905
49,0.805106151
50,0.804560038
51,0.800304913
52,0.80481034
53,0.813525383
54,0.799827064
55,0.81584636
56,0.795071336
57,0.810225954
58,0.81768949
59,0.815231984
